Hasselmann_2019_GSE133432	GSE133432	GSM3908560,GSM3908561
Ormel_2018_GSE102335	GSE102335	GSM2734886,GSM2734887,GSM2734888
Pinto_2020_GSE137939	GSE137939	GSM4094660,GSM4094661,GSM4094662,GSM4094663,GSM4094664,GSM4094665,GSM4094666,GSM4094667,GSM4094668
Pong_2020_GSE65867	GSE65867	GSM1608035,GSM1608036,GSM1608037,GSM1608038,GSM1608039,GSM1608040,GSM1608041,GSM1608042,GSM1608043,GSM1608044,GSM1608045,GSM1608046
Kana_2019_GSE133357	GSE133357	GSM3906184,GSM3906185,GSM3906186,GSM3906187
vanDerPoel_2019_GSE111972	GSE111972	GSM3045818,GSM3045819,GSM3045820,GSM3045821,GSM3045822,GSM3045823,GSM3045824,GSM3045825,GSM3045826,GSM3045827,GSM3045828,GSM3045829,GSM3045830,GSM3045831,GSM3045832,GSM3045833,GSM3045834,GSM3045835,GSM3045836,GSM3045837,GSM3045838,GSM3045839,GSM3045840,GSM3045841,GSM3045842,GSM3045843,GSM3045844,GSM3045845,GSM3045846,GSM3045847,GSM3045848
Lin_2018_GSE115397	GSE115397	GSM3177367,GSM3177368,GSM3177369,GSM3177370,GSM3177371,GSM3177372,GSM3177373,GSM3177374,GSM3177375,GSM3177376,GSM3177377,GSM3177378,GSM3177379
Galatro_2017_GSE99074	GSE99074	GSM3081106,GSM3081107,GSM3081108,GSM3081109,GSM3081110,GSM3081111,GSM3081112,GSM3081113,GSM3081114,GSM3081115,GSM3081116,GSM3081117,GSM3081118,GSM3081119,GSM3081120,GSM3081121,GSM3081122,GSM3081123,GSM3081124,GSM3081125,GSM3081126,GSM3081127,GSM3081128,GSM3081129,GSM3081130,GSM3081131,GSM3081132,GSM3081133,GSM3081134,GSM3081135,GSM3081136,GSM3081137,GSM3081138,GSM3081139,GSM3081140,GSM3081141,GSM3081142,GSM3081143,GSM3081144
Szulzewsky_2016_GSE80338	GSE80338	GSM2124785,GSM2124786,GSM2124787,GSM2124788,GSM2124789,GSM2124790,GSM2124791,GSM2124792,GSM2124793,GSM2124794,GSM2124795,GSM2124796,GSM2124797,GSM2124798,GSM2124799,GSM2124800
Alsema_2020_GSE146639	GSE146639	GSM4403287,GSM4403288,GSM4403289,GSM4403290,GSM4403291,GSM4403292,GSM4403294,GSM4403295,GSM4403296,GSM4403297,GSM4403298,GSM4403299,GSM4403300,GSM4403301,GSM4403302,GSM4403304,GSM4403307,GSM4403308,GSM4403309,GSM4403310,GSM4403311,GSM4636679,GSM4636680,GSM4636681,GSM4636682
Srinivasan_2019_GSE125050	GSE125050	GSM3561843,GSM3561847,GSM3561848,GSM3561849,GSM3561863,GSM3561877,GSM3561882,GSM3561884,GSM3561886,GSM3561888,GSM3561901,GSM3561911,GSM3561913,GSM3561914,GSM3561917,GSM3561918,GSM3561924,GSM3561925,GSM3561927,GSM3561929,GSM3561931,GSM3561936,GSM3561938,GSM3561939,GSM3561942
Gosselin_2017_SRP115940	SRP115940	all
Young_2021_EGAD00001005736	EGAD00001005736	all
Chomyk_2024_GSE255290	GSE255290	GSM8068291,GSM8068292,GSM8068293,GSM8068294,GSM8068295,GSM8068296,GSM8068297,GSM8068298,GSM8068299,GSM8068300
Almansouri_2024_GSE260619	GSE260619	GSM8121059,GSM8121060,GSM8121061,GSM8121062,GSM8121063,GSM8121064,GSM8121065,GSM8121066,GSM8121067,GSM8121068,GSM8121069,GSM8121070
Yoo_2024_GSE263618	GSE263618	GSM8195508,GSM8195509,GSM8195510,GSM8195511,GSM8195512,GSM8195513
Guttikonda_2020_GSE139549	GSE139549	GSM4143582,GSM4143583,GSM4143584,GSM4143585
Dorion_2023_GSE228755	GSE228755	GSM7135879,GSM7135883,GSM7135889,GSM7135894
Wolf_2022_GSE180705	GSE180705	GSM5468498,GSM5468499,GSM5468500,GSM5468501,GSM5468502
van den Bosch_2024_GSE234700	GSE234700	GSM7473479,GSM7473480,GSM7473481,GSM7473482,GSM7473483,GSM7473484,GSM7473485,GSM7473486,GSM7473487,GSM7473488,GSM7473489,GSM7473490,GSM7473491,GSM7473492,GSM7473493,GSM7473494,GSM7473495,GSM7473496,GSM7473497,GSM7473498,GSM7473499,GSM7473500,GSM7473501,GSM7473502,GSM7473503,GSM7473504,GSM7473505,GSM7473506
Pressl_2024_GSE233386	GSE233386	GSM7426704,GSM7426719,GSM7426726
Wolf_2022_GSE193161	GSE193161	GSM5775662,GSM5775663,GSM5775664,GSM5775665,GSM5775666,GSM5775667,GSM5775668,GSM5775669,GSM5775670,GSM5775671
Stirparo_2025_GSE282079	GSE282079	GSM8635372,GSM8635385,GSM8635393,GSM8635401,GSM8635411,GSM8635419,GSM8635422,GSM8635464,GSM8635478,GSM8635531,GSM8635546,GSM8635550,GSM8635557,GSM8635564,GSM8635575,GSM8635604,GSM8635612,GSM8635622,GSM8635628,GSM8635638,GSM8635648
Matlik_2023_GSE227729	GSE227729	GSM7106344,GSM7106387,GSM7106390,GSM7106396,GSM7106416,GSM7106418,GSM7106426,GSM7106436,GSM7106443,GSM7106445,GSM7106447,GSM7106450,GSM7106452,GSM7106454,GSM7106491,GSM7106495,GSM7106498,GSM7106501,GSM7106504,GSM7106506,GSM7106509,GSM7106511,GSM7106532,GSM7106538,GSM7106544
